Datetime,Open,High,Low,Close
2020-12-14 09:30:00-05:00,122.5999985,123.0899963,122.5,123.0500031
2020-12-14 09:31:00-05:00,123.0400009,123.3499985,122.9599991,122.9800034
2020-12-14 09:32:00-05:00,122.9820023,123.3199997,122.9600983,123.1399994
2020-12-14 09:33:00-05:00,123.1374969,123.3050003,122.9700012,123.0699005
2020-12-14 09:34:00-05:00,123.0699005,123.0999985,122.7200012,122.7247009
2020-12-14 09:35:00-05:00,122.7350006,122.9899979,122.697998,122.9599991
2020-12-14 09:36:00-05:00,122.9449997,123.1750031,122.9199982,123.1440964
2020-12-14 09:37:00-05:00,123.1500015,123.1882019,122.9700012,122.9700012
2020-12-14 09:38:00-05:00,122.9649963,123.1100006,122.9100037,123.0199966
2020-12-14 09:39:00-05:00,123.0199966,123.1500015,123,123.0350037
2020-12-14 09:40:00-05:00,123.0342026,123.1399994,122.8199997,122.9300003
2020-12-14 09:41:00-05:00,122.9300003,123.0500031,122.8799973,122.9598999
2020-12-14 09:42:00-05:00,122.9300003,123,122.875,122.9000015
2020-12-14 09:43:00-05:00,122.9000015,122.9199982,122.6800003,122.7600021
2020-12-14 09:44:00-05:00,122.7698975,122.8700027,122.7200012,122.7853012
2020-12-14 09:45:00-05:00,122.7900009,122.9499969,122.7799988,122.9499969
2020-12-14 09:46:00-05:00,122.9400024,123.0599976,122.9100037,123.0339966
2020-12-14 09:47:00-05:00,123.0199966,123.0899963,123.0199966,123.0681992
2020-12-14 09:48:00-05:00,123.0650024,123.1500015,122.9899979,123.0350037
2020-12-14 09:49:00-05:00,123.0299988,123.0350037,122.8799973,123.0139999
2020-12-14 09:50:00-05:00,123.0100021,123.0575027,122.9001999,123.0301971
2020-12-14 09:51:00-05:00,123.0100021,123.0250015,122.9100037,122.9100037
2020-12-14 09:52:00-05:00,122.9162979,122.9899979,122.9049988,122.9449997
2020-12-14 09:53:00-05:00,122.9400024,123.0100021,122.8499985,123.0017014
2020-12-14 09:54:00-05:00,123.0049973,123.0299988,122.8799973,122.8899994
2020-12-14 09:55:00-05:00,122.8799973,122.9499969,122.8799973,122.9161987
2020-12-14 09:56:00-05:00,122.9100037,122.9150009,122.7399979,122.7499008
2020-12-14 09:57:00-05:00,122.7399979,122.8499985,122.6600037,122.8102036
2020-12-14 09:58:00-05:00,122.8192978,122.8949966,122.8150024,122.8889999
2020-12-14 09:59:00-05:00,122.8899994,122.9700012,122.8499985,122.9406967
2020-12-14 10:00:00-05:00,122.9499969,123.0199966,122.9199982,122.9826965
2020-12-14 10:01:00-05:00,122.9599991,123.0199966,122.8499985,122.8700027
2020-12-14 10:02:00-05:00,122.8600006,122.9599991,122.8600006,122.9300003
2020-12-14 10:03:00-05:00,122.9319992,122.9499969,122.8093033,122.8349991
2020-12-14 10:04:00-05:00,122.8398972,122.9199982,122.8300018,122.9199982
2020-12-14 10:05:00-05:00,122.9199982,122.9599991,122.7900009,122.8099976
2020-12-14 10:06:00-05:00,122.8099976,122.8099976,122.6600037,122.6900024
2020-12-14 10:07:00-05:00,122.6900024,122.8199997,122.6900024,122.7249985
2020-12-14 10:08:00-05:00,122.7300034,122.8399963,122.6800003,122.8000031
2020-12-14 10:09:00-05:00,122.7995987,122.8799973,122.7300034,122.7300034
2020-12-14 10:10:00-05:00,122.7300034,122.7600021,122.6399994,122.7600021
2020-12-14 10:11:00-05:00,122.7740021,122.7949982,122.6800003,122.6849976
2020-12-14 10:12:00-05:00,122.6849976,122.8300018,122.6600037,122.8199997
2020-12-14 10:13:00-05:00,122.8150024,122.9300003,122.7715988,122.9250031
2020-12-14 10:14:00-05:00,122.9199982,123.0199966,122.9199982,123.0112991
2020-12-14 10:15:00-05:00,123.0149994,123.0199966,122.9000015,122.9800034
2020-12-14 10:16:00-05:00,122.9738007,123.0299988,122.9738007,123.0162964
2020-12-14 10:17:00-05:00,123.0149994,123.0299988,122.9800034,123
2020-12-14 10:18:00-05:00,122.9899979,123.009903,122.9000015,122.9215012
2020-12-14 10:19:00-05:00,122.9300003,122.9599991,122.8600006,122.9400024
2020-12-14 10:20:00-05:00,122.9300003,123.0199966,122.9000015,123.0199966
